Eastern,Bedford,Fuller,Andrew
Eastern,Boston,Fuller,Andrew
Eastern,Braintree,Fuller,Andrew
Eastern,Cambridge,Fuller,Andrew
Eastern,Cary,Peacock,Margaret
Eastern,Edison,Buchanan,Steven
Eastern,Fairport,Buchanan,Steven
Eastern,Georgetow,Fuller,Andrew
Eastern,Greensboro,Peacock,Margaret
Eastern,Louisville,Fuller,Andrew
Eastern,Mellvile,Buchanan,Steven
Eastern,Morristown,Buchanan,Steven
Eastern,New York,Buchanan,Steven
Eastern,Neward,Davolio,Nancy
Eastern,Providence,Buchanan,Steven
Eastern,Rockville,Peacock,Margaret
Eastern,Westboro,Fuller,Andrew
Eastern,Wilton,Davolio,Nancy
Northern,Beachwood,Callahan,Laura
Northern,Bloomfield Hills,Dodsworth,Anne
Northern,Findlay,Callahan,Laura
Northern,Hollis,Dodsworth,Anne
Northern,Minneapolis,Dodsworth,Anne
Northern,Philadelphia,Callahan,Laura
Northern,Portsmouth,Dodsworth,Anne
Northern,Racine,Callahan,Laura
Northern,Roseville,Dodsworth,Anne
Northern,Southfield,Dodsworth,Anne
Northern,Troy,Dodsworth,Anne
Southern,Atlanta,Leverling,Janet
Southern,Orlando,Leverling,Janet
Southern,Savannah,Leverling,Janet
Southern,Tampa,Leverling,Janet
Western,Bellevue,Suyama,Michael
Western,Campbell,King,Robert
Western,Chicago,King,Robert
Western,Colorado Springs,King,Robert
Western,Denver,King,Robert
Western,Hoffman Estates,King,Robert
Western,Menlo Park,King,Robert
Western,Phoenix,Suyama,Michael
Western,Redmond,Suyama,Michael
Western,San Francisco,King,Robert
Western,Santa Clara,King,Robert
Western,Santa Cruz,King,Robert
Western,Santa Monica,King,Robert
Western,Scottsdale,Suyama,Michael
Western,Seattle,Suyama,Michael
